iso_3_code,countryname,who_region,year,vaccinecode,vaccine_description,schedulerounds,targetpop,targetpop_description,geoarea,ageadministered,sourcecomment
ABW,Aruba,AMRO,2023,HEPA_PEDIATRIC,Pediatric Hepatitis A vaccine,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,healthcare workers
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M5,healthcare workers
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,healthcare workers
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,RISKGROUPS,General/routine,NATIONAL,M1,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,2.0,RISKGROUPS,General/routine,NATIONAL,M3,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,3.0,RISKGROUPS,General/routine,NATIONAL,M9,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y11,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,+M6,Older persons
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,1st contact,Health and care workers
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,Pregnant women
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Adults with chronic conditions, residents living in long-term care facilities"
ABW,Aruba,AMRO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,Children living with long-term care facilities
ABW,Aruba,AMRO,2023,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,students travelling abroad
ABW,Aruba,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,TRAVELLERS,General/routine,NATIONAL,M12,students travelling abroad
ABW,Aruba,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,TRAVELLERS,General/routine,NATIONAL,Y4,students travelling abroad
ABW,Aruba,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,M2,students travelling abroad
ABW,Aruba,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,TRAVELLERS,General/routine,NATIONAL,M4,students travelling abroad
ABW,Aruba,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,TRAVELLERS,General/routine,NATIONAL,M12,students travelling abroad
ABW,Aruba,AMRO,2023,VARICELLA,Varicella vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y1,upon request
ABW,Aruba,AMRO,2023,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers to specific countries
AFG,Afghanistan,EMRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,B,0-11 months
AFG,Afghanistan,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,TRAVELLERS,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,TRAVELLERS,General/routine,NATIONAL,W14,0-11 months
AFG,Afghanistan,EMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,B,New borns
AFG,Afghanistan,EMRO,2023,IPV,IPV (Inactivated polio vaccine),1.0,TRAVELLERS,General/routine,NATIONAL,W14,0-9 months
AFG,Afghanistan,EMRO,2023,IPV,IPV (Inactivated polio vaccine),2.0,TRAVELLERS,General/routine,NATIONAL,M9,0-9 months
AFG,Afghanistan,EMRO,2023,MEASLES,Measles vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,M9,0-18 months
AFG,Afghanistan,EMRO,2023,MEASLES,Measles vaccine,2.0,TRAVELLERS,General/routine,NATIONAL,M18,0-18 months
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),1.0,TRAVELLERS,General/routine,NATIONAL,B,0-11 months
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),2.0,TRAVELLERS,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),3.0,TRAVELLERS,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),4.0,TRAVELLERS,General/routine,NATIONAL,W14,0-11 months
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),5.0,TRAVELLERS,General/routine,NATIONAL,M9,0-11 months
AFG,Afghanistan,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,TRAVELLERS,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,TRAVELLERS,General/routine,NATIONAL,W14,0-11 months
AFG,Afghanistan,EMRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,TRAVELLERS,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AGO,Angola,AFRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,ADULTS,General/routine,NATIONAL,B,0-11 mois
AGO,Angola,AFRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,ADULTS,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,ADULTS,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,ADULTS,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,ADULTS,General/routine,NATIONAL,B,0-7 jours
AGO,Angola,AFRO,2023,IPV,IPV (Inactivated polio vaccine),1.0,ADULTS,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023,IPV,IPV (Inactivated polio vaccine),2.0,ADULTS,General/routine,NATIONAL,M9,0-11 mois
AGO,Angola,AFRO,2023,MR,MR (Measles and rubella) vaccine,1.0,ADULTS,General/routine,NATIONAL,M9,9-15 mois
AGO,Angola,AFRO,2023,MR,MR (Measles and rubella) vaccine,2.0,ADULTS,General/routine,NATIONAL,M15,9-15 mois
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),1.0,ADULTS,General/routine,NATIONAL,B,0-11 mois
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),2.0,ADULTS,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),3.0,ADULTS,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),4.0,ADULTS,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,ADULTS,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,ADULTS,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,ADULTS,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,ADULTS,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,ADULTS,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+M1,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023,TT,TT (Tetanus toxoid) vaccine,1.0,ADULTS,Adults,NATIONAL,Y15-Y49,15-49 A
AGO,Angola,AFRO,2023,VITAMINA,Vitamin A supplements,1.0,ADULTS,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023,VITAMINA,Vitamin A supplements,2.0,ADULTS,General/routine,NATIONAL,M9,0-11 mois
AGO,Angola,AFRO,2023,YF,YF (Yellow fever) vaccine,1.0,ADULTS,General/routine,NATIONAL,M9,0-11 mois
AIA,Anguilla,AMRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,ADULTS,General/routine,NATIONAL,B,birth - 11 months
AIA,Anguilla,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M18,birth - 11 months
AIA,Anguilla,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,5.0,B_CHILD_W,General/routine,NATIONAL,Y4-Y5,birth - 11 months
AIA,Anguilla,AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,B_CHILD_W,General/routine,NATIONAL,M2,birth - 11 months
AIA,Anguilla,AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,B_CHILD_W,General/routine,NATIONAL,M4,birth - 11 months
AIA,Anguilla,AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,B_CHILD_W,General/routine,NATIONAL,M6,birth - 11 months
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,HW,General/routine,NATIONAL,B,from May 2019
AIA,Anguilla,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_A,Catch-up adults,NATIONAL,<Y25,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_C,Catch-up children,NATIONAL,<Y25,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,BOTH,HPV administered to females and males,NATIONAL,Y9-15,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,BOTH,General/routine,NATIONAL,>Y18,and older persons
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,>Y18,Health and care workers
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,>Y18,Pregnant women
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y18,"Adults with chronic conditions, residents living in long-term care facilities"
AIA,Anguilla,AMRO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,General/routine,NATIONAL,>=M6,"Adults with chronic conditions, residents living in long-term care facilities"
AIA,Anguilla,AMRO,2023,IPV,IPV (Inactivated polio vaccine),1.0,RISKGROUPS,General/routine,NATIONAL,M2,"Adults with chronic conditions, residents living in long-term care facilities"
AIA,Anguilla,AMRO,2023,IPV,IPV (Inactivated polio vaccine),2.0,RISKGROUPS,General/routine,NATIONAL,M4,"Adults with chronic conditions, residents living in long-term care facilities"
AIA,Anguilla,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,RISKGROUPS,General/routine,NATIONAL,Y1,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,RISKGROUPS,General/routine,NATIONAL,Y2,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),3.0,RISKGROUPS,General/routine,NATIONAL,M6,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),4.0,RISKGROUPS,General/routine,NATIONAL,M18,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),5.0,RISKGROUPS,General/routine,NATIONAL,Y4-Y5,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),6.0,RISKGROUPS,General/routine,NATIONAL,Y15,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,RISKGROUPS,General/routine,NATIONAL,M2,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,RISKGROUPS,General/routine,NATIONAL,M4,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,RISKGROUPS,General/routine,NATIONAL,M6,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,4.0,RISKGROUPS,General/routine,NATIONAL,M18,12 month old and 24 months old
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y15,15 yrs
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,pregnant women
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+W4,pregnant women
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6-Y1,pregnant women
AIA,Anguilla,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y4,"Children over 4 yrs of age and older with incomplete vaccinations/history of febrile seizers. Adults travelers, Adults with unknown previous vaccination history"
AIA,Anguilla,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,TRAVELLERS,Travellers,NATIONAL,>Y4,Adults travelers
AIA,Anguilla,AMRO,2023,VARICELLA,Varicella vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,M15,Adults travelers
AIA,Anguilla,AMRO,2023,VARICELLA,Varicella vaccine,2.0,TRAVELLERS,General/routine,NATIONAL,Y4-Y5,Adults travelers
AIA,Anguilla,AMRO,2023,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ALB,Albania,EURO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,TRAVELLERS,General/routine,NATIONAL,B,travellers
ALB,Albania,EURO,2023,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",5.0,B_CHILD_W,General/routine,NATIONAL,Y6,travellers
ALB,Albania,EURO,2023,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_F,General/routine,NATIONAL,Y2,travellers
ALB,Albania,EURO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,B_2YL_F,General/routine,NATIONAL,M2,travellers
ALB,Albania,EURO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,B_2YL_F,General/routine,NATIONAL,M4,travellers
ALB,Albania,EURO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,B_2YL_F,General/routine,NATIONAL,M6,travellers
ALB,Albania,EURO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,B_2YL_F,General/routine,NATIONAL,B,travellers
ALB,Albania,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y13,Female from November 2022
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>Y18,and older persons
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,>Y18,Health and care workers
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,>Y18,Pregnant women
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y18,"Adults with chronic conditions, residents living in long-term care facilities, other groups"
ALB,Albania,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,2.0,RISKGROUPS,General/routine,NATIONAL,>Y9,"Adults with chronic conditions, residents living in long-term care facilities, other groups"
ALB,Albania,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,General/routine,NATIONAL,M6-Y9,"Adults with chronic conditions, residents living in long-term care facilities, other groups"
ALB,Albania,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,M6-Y9,Children with chronic conditions
ALB,Albania,EURO,2023,IPV,IPV (Inactivated polio vaccine),1.0,RISKGROUPS,General/routine,NATIONAL,M2,Children with chronic conditions
ALB,Albania,EURO,2023,IPV,IPV (Inactivated polio vaccine),2.0,RISKGROUPS,General/routine,NATIONAL,M4,Children with chronic conditions
ALB,Albania,EURO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,RISKGROUPS,General/routine,NATIONAL,Y1,Children with chronic conditions
ALB,Albania,EURO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,RISKGROUPS,General/routine,NATIONAL,Y5,Children with chronic conditions
ALB,Albania,EURO,2023,OPV,OPV (Oral polio vaccine),3.0,RISKGROUPS,General/routine,NATIONAL,M6,Children with chronic conditions
ALB,Albania,EURO,2023,OPV,OPV (Oral polio vaccine),4.0,RISKGROUPS,General/routine,NATIONAL,Y2,Children with chronic conditions
ALB,Albania,EURO,2023,OPV,OPV (Oral polio vaccine),5.0,RISKGROUPS,General/routine,NATIONAL,Y6,Children with chronic conditions
ALB,Albania,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,RISKGROUPS,General/routine,NATIONAL,M2,Children with chronic conditions
ALB,Albania,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,RISKGROUPS,General/routine,NATIONAL,M4,Children with chronic conditions
ALB,Albania,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,RISKGROUPS,General/routine,NATIONAL,M12,Children with chronic conditions
ALB,Albania,EURO,2023,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,1.0,RISKGROUPS,General/routine,NATIONAL,M2,Children with chronic conditions
ALB,Albania,EURO,2023,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,2.0,RISKGROUPS,General/routine,NATIONAL,M4,Children with chronic conditions
ALB,Albania,EURO,2023,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,3.0,RISKGROUPS,General/routine,NATIONAL,M6,Children with chronic conditions
ALB,Albania,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,Y18,Children with chronic conditions
ALB,Albania,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y13,Children with chronic conditions
AND,Andorra,EURO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1.0,B_ADO_W,General/routine,NATIONAL,M2,Children with chronic conditions
AND,Andorra,EURO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2.0,B_ADO_W,General/routine,NATIONAL,M4,Children with chronic conditions
AND,Andorra,EURO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,3.0,B_ADO_W,General/routine,NATIONAL,M12,Children with chronic conditions
AND,Andorra,EURO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y12,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
